Periodo,CIP,Millones de dolares
2016_07,Cancun  ,120.54
2016_07,Los Cabos  ,53.36
2016_07,Nayarit,19.77
2016_07,Ixtapa  ,3.37
2016_07,Huatulco  ,0.94
2016_07,Loreto  ,1.57
2016_07,Total mensual,199.55
2016_06,Cancun  ,130.69
2016_06,Los Cabos  ,50.57
2016_06,Nayarit,21.49
2016_06,Ixtapa  ,2.2
2016_06,Huatulco  ,0.87
2016_06,Loreto  ,1.13
2016_06,Total mensual  ,206.95
2016_05,Cancun  ,118.39
2016_05,Los Cabos  ,44.52
2016_05,Nayarit,19.75
2016_05,Ixtapa  ,1.75
2016_05,Huatulco  ,0.74
2016_05,Loreto  ,1.26
2016_05,Total mensual  ,186.41
2016_04,Cancun  ,174.53
2016_04,Los Cabos  ,51.11
2016_04,Nayarit,25.57
2016_04,Ixtapa  ,4.65
2016_04,Huatulco  ,1.87
2016_04,Loreto  ,2.12
2016_04,Total mensual  ,259.84
2016_03,Cancun  ,233.23
2016_03,Los Cabos  ,59.86
2016_03,Nayarit,35.31
2016_03,Ixtapa  ,11.77
2016_03,Huatulco  ,3.68
2016_03,Loreto  ,3.24
2016_03,Total mensual  ,347.08
2016_02,Cancun  ,179.13
2016_02,Los Cabos  ,51.31
2016_02,Nayarit,31.9
2016_02,Ixtapa  ,12.76
2016_02,Huatulco  ,4.04
2016_02,Loreto  ,2.33
2016_02,Total mensual  ,281.47
2016_01,Cancun  ,157.92
2016_01,Los Cabos  ,54.52
2016_01,Nayarit,37.71
2016_01,Ixtapa  ,10.98
2016_01,Huatulco  ,4.5
2016_01,Loreto  ,1.6
2016_01,Total mensual  ,267.22
2015_12,Cancun  ,131.29
2015_12,Los Cabos  ,43.16
2015_12,Nayarit,27.35
2015_12,Ixtapa  ,4.85
2015_12,Huatulco  ,2.77
2015_12,Loreto  ,1.21
2015_12,Total mensual  ,210.64
2015_11,Cancun  ,113.72
2015_11,Los Cabos  ,37.3
2015_11,Nayarit,21.51
2015_11,Ixtapa  ,2.52
2015_11,Huatulco  ,1.4
2015_11,Loreto  ,0.92
2015_11,Total mensual  ,177.36
2015_10,Cancun  ,128.11
2015_10,Los Cabos  ,32.1
2015_10,Nayarit,13.17
2015_10,Ixtapa  ,1.09
2015_10,Huatulco  ,0.41
2015_10,Loreto  ,0.86
2015_10,Total mensual  ,175.74
2015_09,Cancun  ,99.87
2015_09,Los Cabos  ,19.19
2015_09,Nayarit,9.35
2015_09,Ixtapa  ,0.57
2015_09,Huatulco  ,0.31
2015_09,Loreto  ,0.35
2015_09,Total mensual  ,129.65
2015_08,Cancun  ,206.59
2015_08,Los Cabos  ,32.66
2015_08,Nayarit,15.65
2015_08,Ixtapa  ,2.11
2015_08,Huatulco  ,0.58
2015_08,Loreto  ,0.78
2015_08,Total mensual  ,258.37
2015_07,Cancun  ,137.89
2015_07,Los Cabos  ,38.74
2015_07,Nayarit,19.13
2015_07,Ixtapa  ,2.22
2015_07,Huatulco  ,0.84
2015_07,Loreto  ,0.95
2015_07,Total mensual  ,199.76
2015_06,Cancun  ,165.33
2015_06,Los Cabos  ,41.68
2015_06,Nayarit,19.83
2015_06,Ixtapa  ,1.93
2015_06,Huatulco  ,0.68
2015_06,Loreto  ,0.76
2015_06,Total mensual  ,230.22
2015_05,Cancun  ,145.23
2015_05,Los Cabos  ,39.93
2015_05,Nayarit,18.34
2015_05,Ixtapa  ,1.77
2015_05,Huatulco  ,0.7
2015_05,Loreto  ,1.05
2015_05,Total mensual  ,207.03
2015_04,Cancun  ,204.04
2015_04,Los Cabos  ,44.31
2015_04,Nayarit,24.36
2015_04,Ixtapa  ,6.44
2015_04,Huatulco  ,1.52
2015_04,Loreto  ,1.34
2015_04,Total mensual  ,282.01
2015_03,Cancun  ,242.26
2015_03,Los Cabos  ,50.37
2015_03,Nayarit,30.23
2015_03,Ixtapa  ,14.97
2015_03,Huatulco  ,5.08
2015_03,Loreto  ,1.73
2015_03,Total mensual  ,344.63
2015_02,Cancun  ,222.46
2015_02,Los Cabos  ,43.06
2015_02,Nayarit,27.83
2015_02,Ixtapa  ,16.32
2015_02,Huatulco  ,4.96
2015_02,Loreto  ,1.21
2015_02,Total mensual  ,315.84
2015_01,Cancun  ,195.86
2015_01,Los Cabos  ,43.34
2015_01,Nayarit,33.3
2015_01,Ixtapa  ,12.02
2015_01,Huatulco  ,4.05
2015_01,Loreto  ,0.96
2015_01,Total mensual  ,289.53
2014_12,Cancun  ,118.78
2014_12,Los Cabos  ,30.4
2014_12,Nayarit,24.15
2014_12,Ixtapa  ,4.46
2014_12,Huatulco  ,2.77
2014_12,Loreto  ,0.61
2014_12,Total mensual  ,181.17
2014_11,Cancun  ,127.41
2014_11,Los Cabos  ,20.5
2014_11,Nayarit,21.1
2014_11,Ixtapa  ,2.41
2014_11,Huatulco  ,2.13
2014_11,Loreto  ,0.71
2014_11,Total mensual  ,174.25
2014_10,Cancun  ,100.31
2014_10,Los Cabos  ,6.08
2014_10,Nayarit,14.25
2014_10,Ixtapa  ,0.9
2014_10,Huatulco  ,0.82
2014_10,Loreto  ,0.3
2014_10,Total mensual  ,122.67
2014_09,Cancun  ,87.85
2014_09,Los Cabos  ,16.06
2014_09,Nayarit,10.67
2014_09,Ixtapa  ,0.56
2014_09,Huatulco  ,0.34
2014_09,Loreto  ,0.61
2014_09,Total mensual  ,116.1
2014_08,Cancun  ,210.26
2014_08,Los Cabos  ,39.61
2014_08,Nayarit,15.83
2014_08,Ixtapa  ,0.98
2014_08,Huatulco  ,0.66
2014_08,Loreto  ,0.83
2014_08,Total mensual  ,268.17
2014_07,Cancun  ,138.94
2014_07,Los Cabos  ,53.65
2014_07,Nayarit,20.06
2014_07,Ixtapa  ,1.72
2014_07,Huatulco  ,0.88
2014_07,Loreto  ,1.23
2014_07,Total mensual  ,216.48
2014_06,Cancun  ,181.46
2014_06,Los Cabos  ,51.39
2014_06,Nayarit,17.21
2014_06,Ixtapa  ,1.13
2014_06,Huatulco  ,0.57
2014_06,Loreto  ,0.97
2014_06,Total mensual  ,252.72
2014_05,Cancun  ,167.11
2014_05,Los Cabos  ,46.07
2014_05,Nayarit,15.98
2014_05,Ixtapa  ,1.16
2014_05,Huatulco  ,1.37
2014_05,Loreto  ,0.85
2014_05,Total mensual  ,232.54
2014_04,Cancun  ,204.79
2014_04,Los Cabos  ,52.88
2014_04,Nayarit,18.06
2014_04,Ixtapa  ,2.26
2014_04,Huatulco  ,1.77
2014_04,Loreto  ,1.36
2014_04,Total mensual  ,281.13
2014_03,Cancun  ,243.61
2014_03,Los Cabos  ,70.51
2014_03,Nayarit,28.17
2014_03,Ixtapa  ,5.41
2014_03,Huatulco  ,3.11
2014_03,Loreto  ,2
2014_03,Total mensual  ,352.81
2014_02,Cancun  ,214.1
2014_02,Los Cabos  ,57.04
2014_02,Nayarit,23.28
2014_02,Ixtapa  ,16.56
2014_02,Huatulco  ,3.26
2014_02,Loreto  ,1.46
2014_02,Total mensual  ,315.71
2014_01,Cancun  ,168.28
2014_01,Los Cabos  ,45.65
2014_01,Nayarit,21.41
2014_01,Ixtapa  ,9.67
2014_01,Huatulco  ,3.35
2014_01,Loreto  ,1.01
2014_01,Total mensual  ,249.37
2013,Total 2013 CIPs,2134.99
2013_12,Cancun  ,120.18
2013_12,Los Cabos  ,52.25
2013_12,Nayarit,18.02
2013_12,Ixtapa  ,4.35
2013_12,Huatulco  ,2.88
2013_12,Loreto  ,0.8
2013_12,Total mensual  ,198.48
2013_11,Cancun  ,98.24
2013_11,Los Cabos  ,41.44
2013_11,Nayarit,13.99
2013_11,Ixtapa  ,2.28
2013_11,Huatulco  ,1.37
2013_11,Loreto  ,0.94
2013_11,Total mensual  ,158.26
2013_10,Cancun  ,79.56
2013_10,Los Cabos  ,41.72
2013_10,Nayarit,8.7
2013_10,Ixtapa  ,0.83
2013_10,Huatulco  ,0.4
2013_10,Loreto  ,1.1
2013_10,Total mensual  ,132.32
2013_09,Cancun  ,68.4
2013_09,Los Cabos  ,23.36
2013_09,Nayarit,6.43
2013_09,Ixtapa  ,0.34
2013_09,Huatulco  ,0.3
2013_09,Loreto  ,0.64
2013_09,Total mensual  ,99.46
2013_08,Cancun  ,91.5
2013_08,Los Cabos  ,36.93
2013_08,Nayarit,8.66
2013_08,Ixtapa  ,1.08
2013_08,Huatulco  ,0.63
2013_08,Loreto  ,0.82
2013_08,Total mensual  ,139.63
2013_07,Cancun  ,82.09
2013_07,Los Cabos  ,51.78
2013_07,Nayarit,12.17
2013_07,Ixtapa  ,2.19
2013_07,Huatulco  ,0.73
2013_07,Loreto  ,1.02
2013_07,Total mensual  ,149.98
2013_06,Cancun  ,136.74
2013_06,Los Cabos  ,41.65
2013_06,Nayarit,11.8
2013_06,Ixtapa  ,1.41
2013_06,Huatulco  ,0.69
2013_06,Loreto  ,1.03
2013_06,Total mensual  ,193.31
2013_05,Cancun  ,100.66
2013_05,Los Cabos  ,41.15
2013_05,Nayarit,9.96
2013_05,Ixtapa  ,1.44
2013_05,Huatulco  ,0.68
2013_05,Loreto  ,0.93
2013_05,Total mensual  ,154.82
2013_04,Cancun  ,106.55
2013_04,Los Cabos  ,44.27
2013_04,Nayarit,11.6
2013_04,Ixtapa  ,2.28
2013_04,Huatulco  ,1.76
2013_04,Loreto  ,1.14
2013_04,Total mensual  ,167.62
2013_03,Cancun  ,170.05
2013_03,Los Cabos  ,65.07
2013_03,Nayarit,23.83
2013_03,Ixtapa  ,7.03
2013_03,Huatulco  ,4.1
2013_03,Loreto  ,1.66
2013_03,Total mensual  ,271.74
2013_02,Cancun  ,167.37
2013_02,Los Cabos  ,48.22
2013_02,Nayarit,17.02
2013_02,Ixtapa  ,6.72
2013_02,Huatulco  ,4.29
2013_02,Loreto  ,1.42
2013_02,Total mensual  ,245.04
2013_01,Cancun  ,174.31
2013_01,Los Cabos  ,42.08
2013_01,Nayarit,16.99
2013_01,Ixtapa  ,6.49
2013_01,Huatulco  ,4.3
2013_01,Loreto  ,0.91
2013_01,Total mensual  ,245.08
