Ano,Estado,Occupation_Pct,Total_Visitors,Total_Visitors_Domestic,Total_Visitors_Foreign,Total_Overnight,Total_Overnight_Domestic,Total_Overnight_Foreign
2014,Aguascalientes,50.71962922,530502.9751,482245.868,48257.10715,1189196.097,1068276.739,120919.3582
2014,Baja California,40.29333345,3640601,2780116,860485,4691100,3522247,1168853
2014,Baja California Sur,59.40305996,1740468.844,681246.4043,1059222.44,8565825.634,2727958.284,5837867.35
2014,Campeche,50.64734339,1466950,1225942,241008,2655260,2265138,390122
2014,Chiapas,35.44208714,3542910.873,3190148.659,352762.214,4290669.205,3861293.989,429375.216
2014,Chihuahua,39.65934338,3908207.245,3694990.541,213216.7043,4517181.201,4209710.467,307470.7342
2014,Coahuila,42.78586685,1624076.393,1486024.538,138051.8543,2168951.737,1977323.876,191627.8613
2014,Colima,43.28034625,939655,889599,50056,2588180,2422869,165311
2014,Distrito Federal,64.17,11019773,9006292,2013481,19138469,14782279,4356190
2014,Durango ,50.48963764,590814.0065,579313.0281,11500.97841,898483.3506,876820.7891,21662.56151
2014,Guanajuato,47.23801027,4033289,3906126,127163,5549381,5222821,326560
2014,Guerrero ,39.5695044,5683880.787,5469748.23,214132.5572,11510643.92,11016270.96,494372.9593
2014,Hidalgo,51.40728567,2608530,2591366,17164,3200059,3178949,21110
2014,Jalisco,51.00219675,7235525,6156581,1078944,18364073.62,14655575.01,3708498.617
2014,M�xico,35.0892747,2818682,2690359,128323,4563339,4315911,247428
2014,Michoac�n,38.98022383,2457678,2413936,43742,4009714.563,3937907.665,71806.89867
2014,Morelos,35.01185932,1201835.453,1070316.101,131519.3519,1720620.049,1576315.595,144304.4539
2014,Nayarit ,57.76528382,2214102.59,1569610.203,644492.387,8107543.585,4583208.424,3524335.161
2014,Nuevo Le�n,56.08318868,2091330.468,1676435.547,414894.9208,4857317.45,3957244.8,900072.6509
2014,Oaxaca,40.79225145,3083266.051,2951921.597,131344.4538,5736085.876,5498605.112,237480.7642
2014,Puebla,64.78622391,3508822.61,3108170.584,400652.0259,6843402,6042449.994,800952.0052
2014,Quer�taro,53.91584203,1685639.614,1590425.456,95214.15826,3686219.911,3480822.626,205397.2851
2014,Quintana Roo ,75.30259145,12257869.81,3229907.719,9027962.09,51956922.25,8136530.846,43820391.4
2014,San Luis Potos�,45.90812352,1055065.874,903936.5671,151129.3066,1650261.49,1409045.461,241216.0293
2014,Sinaloa,51.54579725,2942071.264,2579493.698,362577.5653,6864111.403,5433972.858,1430138.544
2014,Sonora,51.76329498,2457017.01,2260923.626,196093.3843,4106811.227,3740890.024,365921.2031
2014,Tabasco,54.05060079,1024103.247,947545.8039,76557.44351,1949202.577,1803920.868,145281.7091
2014,Tamaulipas ,55.96491193,3364009.193,3200412.232,163596.9603,4780939.657,4568025.136,212914.5213
2014,Tlaxcala,35.61223357,332564.1457,327440.6355,5123.510258,419983.0612,409221.9522,10761.10896
2014,Veracruz,52.42017469,5699742.604,5608673.696,91068.90799,8410662.94,8273046.998,137615.9419
2014,Yucat�n  ,47.85966192,1896789.736,1423949.679,472840.0567,3093904.844,2473599.176,620305.6681
2014,Zacatecas,43.45825852,1077749.237,1052712.381,25036.85654,1667883.483,1606549.962,61333.52044
2013,Aguascalientes,49.28454819,519227,457296,61931,1115914.832,887403.6424,228511.19
2013,Baja California,40.65857219,3117250.241,2383381.439,733868.8026,4408468.978,3371379.488,1037089.491
2013,Baja California Sur,61.22431989,1887851.878,763408.1847,1124443.694,7385953.753,1842851.092,5543102.661
2013,Campeche,52.31393986,1430172.051,999737.5532,430434.4978,2283323.261,1664481.9,618841.3611
2013,Chiapas,34.46968166,3361335.697,3013479.695,347856.0021,4092100.704,3651897.189,440203.5152
2013,Chihuahua,41.95245254,3817119.031,3602186.846,214932.1843,4926355.131,4621432.954,304922.1774
2013,Coahuila,45.0940662,1604490.356,1513691.558,90798.79711,2427817.808,2256182.668,171635.1406
2013,Colima,41.17878697,927206.8637,895266.231,31940.6327,2474198.091,2361718.562,112479.529
2013,Distrito Federal,64.79,12022748,9942826.683,2079921.317,22362311.28,18050363,4311948.277
2013,Durango,43.60945771,536750.8632,513078.198,23672.6652,784445.2576,740270.5745,44174.68303
2013,Guanajuato,46.61,3504540,3365097,139443,5129279,4755245,374034
2013,Guerrero,39.5440749,5635060.819,5427351.243,207709.576,9089656.254,8428362.166,661294.0875
2013,Hidalgo,50.22,2092989,2087305,5684,2460768,2451794,8974
2013,Jalisco,47.54195364,7029791.898,6214895.826,814896.0723,14564651.88,11661917.94,2902733.937
2013,M�xico,34.57420566,2742850.207,2592548.477,150301.7298,3551910.569,3237713.048,314197.5207
2013,Michoac�n,38.6340028,2549431.906,2505254.924,44176.98173,3339014.159,3271103.276,67910.88288
2013,Morelos,38.37445017,1302052,1163268.393,138783.6069,1882252.98,1730331.209,151921.7709
2013,Nayarit,49.7454438,2097503.907,1692706.184,404797.7239,5579605.28,4235657.113,1343948.168
2013,Nuevo Le�n,52.38068585,1908022.79,1572207.13,335815.6604,3908890.535,3316287.588,592602.9473
2013,Oaxaca,39.90225421,3022774,2820073.352,202700.648,5721334.325,5020394.603,700939.7221
2013,Puebla,60.84765552,3436313,3035497.946,400815.0538,5618015.661,4884122.606,733893.0548
2013,Quer�taro,54.40378125,1741290.973,1641015.194,100275.7798,3149859.47,2930971.861,218887.6089
2013,Quintana Roo,71.16525703,10869665.91,3321615.683,7548050.229,46551219.69,6636083.973,39915135.72
2013,San Luis Potos�,47.75366187,920103,797178.4547,122924.5453,1888811.302,1626009.651,262801.651
2013,Sinaloa,46.76029898,2803295.272,2451641.87,351653.4024,6226921.669,5003988.843,1222932.826
2013,Sonora,52.08027721,2297213.445,2120521.016,176692.4291,4164790.566,3830630.739,334159.8262
2013,Tabasco,55.68505866,977927.1963,906892.9351,71034.26121,1974217.233,1816874.313,157342.9204
2013,Tamaulipas,52.93669486,3065634.843,2894658.925,170975.9178,4313613.404,4140747.774,172865.6299
2013,Tlaxcala,32.37391625,278956,274033.9488,4922.051229,387516.1723,378839.2202,8676.952058
2013,Veracruz,47.37900698,5361578,5168463.812,193114.1877,6816957.551,6570084.763,246872.7886
2013,Yucat�n,49.33702138,1764103.74,1406302.17,357801.5697,3010429.456,2520184.294,490245.1621
2013,Zacatecas,40.4276963,1004871,984110.458,20760.54203,1530441.365,1461060.701,69380.66387
2012,Aguascalientes,44.08607059,498627,453493.8153,45133.18466,1072711.851,876972.0435,195739.808
2012,Baja California,38.15012457,3102040.919,2220413.823,881627.0963,3989984.278,2851356.74,1138627.538
2012,Baja California Sur,58.27042982,1875947.373,779509.4588,1096437.915,7582865.657,2051538.042,5531327.614
2012,Campeche,52.5185898,1241354.549,1041914.978,199439.5707,2004265.627,1711666.595,292599.0327
2012,Chiapas,37.58486349,3615889.17,3258331.317,357557.8533,4438514.407,3970506.6,468007.807
2012,Chihuahua,40.12264496,3566384.382,3263280.039,303104.3436,5003261.48,4549555.043,453706.4371
2012,Coahuila,47.00911892,1442042.772,1352257.044,89785.728,2288609.745,2109489.283,179120.4617
2012,Colima,44.50604415,1043999.246,999969.954,44029.29194,2979021.92,2845996.707,133025.2134
2012,Distrito Federal,62.45177903,11859457,9662201,2197256,23801610,19026862,4774748
2012,Durango,44.32241414,586575.2,578258.4451,8316.754898,870215.0208,856858.0511,13356.96964
2012,Guanajuato,43.39097392,3328089,3231862,96227,4860416,4626742,233674
2012,Guerrero,42.44381127,5408736.501,5208389.504,200346.9977,9629675.19,8929107.969,700567.2206
2012,Hidalgo,48.00604095,1798323,1786875,11448,2263776,2251190,12586
2012,Jalisco,47.58368211,6603529.932,5828896.431,774633.5005,12807985.36,9794626.007,3013359.356
2012,M�xico,35.52276389,2606733.507,2351124.854,255608.6536,3755386.048,3210023.954,545362.0932
2012,Michoac�n,39.61534357,2705284.57,2663896.214,41388.35562,3530281.823,3467437.08,62844.74248
2012,Morelos,36.71935572,1304322.233,1190549.539,113772.6936,1813415.922,1685860.911,127555.0103
2012,Nayarit,46.364,1564374,1280156.538,284217.4619,4849559.4,3881297.992,968261.4077
2012,Nuevo Le�n,48.34728738,1744073.983,1531187.933,212886.0506,3683127.117,3245965.974,437161.1424
2012,Oaxaca,39.9837531,2524344.752,2364691.895,159652.8565,4699559.046,4152211.455,547347.5907
2012,Puebla,53.14924396,2854943,2553158.003,301784.9968,4080374.279,3541129.068,539245.2113
2012,Quer�taro,52.48495682,1513352,1432375,80977,2669222,2482725,186497
2012,Quintana Roo,69.87,9416635,3033722,6382913,40114865.1,6142545.072,33972320.03
2012,San Luis Potos�,43.8499104,1082064.825,980354.0794,101710.7453,2067281.348,1856968.17,210313.1785
2012,Sinaloa,45.70462052,2750864.774,2383715.145,367149.6295,6271063.598,4986348.288,1284715.309
2012,Sonora,51.03409296,2162037.397,2002966.929,159070.4672,4312492.181,3963839.041,348653.14
2012,Tabasco,53.78002038,1228170.133,1148475.764,79694.36911,2217971.685,2071617.898,146353.7875
